Metric,Baseline (TF-IDF + Logistic Regression),LSTM
Accuracy,0.9824016563146998,0.9720496894409938
Precision,0.9788359788359788,0.9757174392935982
Recall,0.9893048128342246,0.9732620320855615
F1 Score,0.9840425531914894,0.9744881889763779
ROC-AUC,0.9979291882882064,0.991704973518059
Training Time (s),0.24552583694458,599.1239376068115
Inference Time - total (s),1.2903566360473633,8.259230613708496
Inference Time (ms/article),0.222628819193817,1.4249880285901477
Model Size - model file only (MB),0.160863,24.569131
Model Size - total inference artifacts (MB),0.904554,28.685801
Trainable Parameters / Coefficients,20001,2044353.0
Vocabulary Size (capped),20000,20000.0
Training Epochs,"N/A (single lbfgs solver call, not epoch-based)",10.0
Best Validation Epoch,N/A,8.0
