word,coefficient
via,-10.570436750327927
video,-9.513613375803939
image,-8.912278778507002
gop,-6.223352290364439
read,-6.1293004869077885
featured,-5.9941142081113234
hillary,-5.425199065996378
mr,-5.300245592178931
even,-5.149718104001412
watch,-4.7131358382036925
getty,-4.667771227319693
american,-4.249179566800982
like,-4.188784246398256
america,-4.139399500333852
obama,-3.6739549802750746
rep,-3.6188266125808606
know,-3.5756089325690015
breaking,-3.534095587147968
sen,-3.4932153513687325
wire,-3.3355539803789
