word,coefficient
said,18.518782492074475
wednesday,5.745812569627363
tuesday,5.413773407772076
thursday,5.372942667284402
friday,4.899903652300782
presidential,4.687867905497186
monday,4.601569429323261
minister,3.9872038632055102
nov,3.836686083210839
told,3.834976771025864
democratic,3.56737603245784
spokesman,3.4475652215578236
representative,3.289752265972095
comment,3.1776111871925603
statement,3.1533879668063265
edt,2.960038683142113
house,2.9003794196492008
republican,2.871890423026322
rival,2.8052619580459432
trade,2.776558486118005
